,,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Enrollees,American Indian,Perc FR along Ethnicity,0.62%,0.72%,0.63%,0.60%,0.49%,0.58%,0.52%,0.46%,0.44%,0.48%
Enrollees,Chicano/Latino,FilteredCountFR,"6,642","7,169","8,389","8,889","9,491","10,166","9,992","12,540","11,960","11,678"
Enrollees,Chicano/Latino,Perc FR along Ethnicity,19.40%,20.83%,23.08%,22.95%,23.74%,24.46%,24.04%,26.41%,26.00%,25.02%
Enrollees,Asian,FilteredCountFR,"13,602","13,673","14,188","14,783","14,496","14,897","14,502","15,868","15,487","16,398"
Enrollees,Asian,Perc FR along Ethnicity,39.72%,39.72%,39.04%,38.17%,36.25%,35.84%,34.90%,33.42%,33.66%,35.13%
Enrollees,White,FilteredCountFR,"10,127","9,195","9,274","9,039","9,155","9,081","8,719","9,790","9,314","8,871"
Enrollees,White,Perc FR along Ethnicity,29.57%,26.71%,25.52%,23.34%,22.90%,21.85%,20.98%,20.62%,20.25%,19.01%
Enrollees,Unknown,FilteredCountFR,"1,621","1,661",726,911,"1,146","1,051","1,201","1,309","1,214","1,327"
Enrollees,Unknown,Perc FR along Ethnicity,4.73%,4.83%,2.00%,2.35%,2.87%,2.53%,2.89%,2.76%,2.64%,2.84%
Enrollees,International,FilteredCountFR,779,"1,217","2,196","3,364","4,060","4,615","5,459","5,829","5,954","6,265"
Enrollees,International,Perc FR along Ethnicity,2.27%,3.54%,6.04%,8.69%,10.15%,11.10%,13.14%,12.28%,12.94%,13.42%
